tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date
1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,0,0,0,0,8,4,8,2025-11-01
1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,0,0,0,0,4,3,4,2025-11-01
1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,0,0,0,0,1,1,1,2025-11-01
1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,0,0,0,0,4,4,4,2025-11-01
1497-2548,ชุดหัวฉีดชะล้าง,0,0,0,0,11,9,11,2025-11-01
1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,23,16,54,36,0,0,77,2025-11-01
15-2562,ปูนซีเมนต์ปอร์ตแลนด์,15,9,15,12,0,0,30,2025-11-01
150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,0,0,0,0,8,6,8,2025-11-01
1500-2541,บานประตูรั้วโลหะ,0,0,0,0,2,2,2,2025-11-01
1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,21,17,42,23,0,0,63,2025-11-01
1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,0,0,0,0,20,11,20,2025-11-01
1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,0,0,0,0,3,2,3,2025-11-01
1512-2563,สีย้อมไม้ชนิดน้ำ,0,0,0,0,2,2,2,2025-11-01
1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,0,0,0,0,5,5,5,2025-11-01
1521-2541,กาวสำหรับกระดาษ,0,0,0,0,5,3,5,2025-11-01
1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,32,28,107,61,0,0,139,2025-11-01
153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,0,0,0,0,7,7,7,2025-11-01
155-2562,น้ำหวานเข้มข้น,0,0,0,0,2,1,2,2025-11-01
156-2518,พิวเตอร์,0,0,0,0,2,2,2,2025-11-01
1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,0,0,0,0,1,1,1,2025-11-01
1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,0,0,0,0,9,8,9,2025-11-01
1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,0,0,0,0,3,3,3,2025-11-01
158-2518,กระเบื้องดินเผามุงหลังคา,0,0,0,0,5,3,5,2025-11-01
1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,0,0,0,0,2,1,2,2025-11-01
163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,0,0,0,0,2,2,2,2025-11-01
1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,31,21,621,166,0,0,652,2025-11-01
165-2554,สารส้ม,0,0,0,0,24,16,24,2025-11-01
1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,0,0,0,0,21,21,21,2025-11-01
166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,65,57,160,86,0,0,225,2025-11-01
167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,0,0,0,0,2,1,2,2025-11-01
1677-2541,แท่นประทับตรา,0,0,0,0,3,2,3,2025-11-01
1678-2541,หมึกประทับตรา,0,0,0,0,1,1,1,2025-11-01
1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,71,15,135,49,0,0,206,2025-11-01
17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,41,38,1,1,0,0,42,2025-11-01
173-2529,ยางฟองน้ำลาเทกซ์,0,0,0,0,1,1,1,2025-11-01
1732-2558,กระจกเงา,0,0,0,0,2,2,2,2025-11-01
1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,14,10,22,13,0,0,36,2025-11-01
1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,0,0,0,0,3,3,3,2025-11-01
1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,2,2,89,17,0,0,91,2025-11-01
175-2562,ไนโตรเจน,0,0,0,0,12,7,12,2025-11-01
176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,0,0,0,0,5,3,5,2025-11-01
1773-2548,เตาไมโครเวฟสำหรับใช้ในที่อยู่อาศัย เฉพาะด้านความปลอดภัย,48,6,280,49,0,0,328,2025-11-01
1776-2566,มอร์ตาร์สำหรับฉาบ,0,0,0,0,14,9,14,2025-11-01
1777-2558,แคโพรแล็กแทมสำหรับอุตสาหกรรม,0,0,0,0,1,1,1,2025-11-01
178-2549,แผ่นไม้อัด,0,0,0,0,21,12,21,2025-11-01
18-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนลูกฟูก,0,0,0,0,7,4,7,2025-11-01
181-2530,กาวโพลิไวนิลอะซีเทตอิมัลชัน,0,0,0,0,1,1,1,2025-11-01
182-2562,สำลีที่ใช้ในการแพทย์,0,0,0,0,5,5,5,2025-11-01
183-2562,โกลว์สตาร์ตเตอร์สำหรับหลอดฟลูออเรสเซนซ์,0,0,1,1,0,0,1,2025-11-01
1878-2550,เครื่องจ่ายเชิงพาณิชย์และเครื่องขายสินค้าอัตโนมัติ เฉพาะด้านความปลอดภัย,0,0,0,0,6,2,6,2025-11-01
188-2547,ปูนยิปซัมสำหรับการก่อสร้าง,0,0,0,0,3,2,3,2025-11-01
1884-2564,เหล็กกล้าทรงแบนรีดร้อน ทนแรงดึงสูงที่ปรับปรุงสมบัติการขึ้นรูป สำหรับงานโครงสร้างรถยนต์,30,22,99,33,0,0,129,2025-11-01
