ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
105,2921-2562,ภาชนะและเครื่องใช้เมลามีน-ฟอร์แมลดีไฮด์ ยูเรีย-ฟอร์แมลดีไฮด์ และเมลามีน-ยูเรีย-ฟอร์แมลดีไฮด์ สำหรับอาหาร: เฉพาะด้านความปลอดภัย,Melamine - Formaldehyde urea - Formaldehyde and melamine - UREA - Formaldehyde utensils for food : Safety requirement,บังคับ,12,12,32,29,0,0,44
106,194-2535,ลวดเหล็กกล้าคาร์บอนต่ำ,Ordinary low carbon steel wires,ทั่วไป,0,0,0,0,43,28,43
107,378-2531,กระเบื้องคอนกรีตปูพื้น,Concrete flooring tiles,ทั่วไป,0,0,0,0,43,36,43
108,11 เล่ม 4-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 4 สายไฟฟ้ามีเปลือกสำหรับงานติดตั้งยึดกับที่,Polyvinyl chloride insulated cables of rated voltages up to and including 450/750 v - Part 4: sheathed cables for fixed wiring,บังคับ,40,31,2,2,0,0,42
109,420-2540,ลวดเหล็กกล้าตีเกลียวสำหรับคอนกรีตอัดแรง,Steel wires strands for prestressed concrete,บังคับ,10,8,32,19,0,0,42
110,17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,Unplasticized polyvinyl chloride (PVC-U) pipe,บังคับ,41,38,1,1,0,0,42
111,969-2562,หัวนมยางสำหรับขวดนม,Nipples for feeding bottles,บังคับ,19,17,22,20,0,0,41
112,760-2563,สีสังเคราะห์ : สีแวต,Synthetic dyestuffs : Vat dye,บังคับ,2,2,38,18,0,0,40
113,60335 เล่ม 2(23)-2564,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(23) ข้อกำหนดเฉพาะเครื่องใช้ไฟฟ้าสำหรับการดูแลผม ขน หรือผิว,Household and similar electrical appliances - safety - part 2-23 : Particular requirements for appliances for skin or hair care,บังคับ,1,1,39,22,0,0,40
114,256-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบรองลิ้นโลหะสำหรับงานประปา,Cast iron metal-seated gate valves for water services,ทั่วไป,0,0,0,0,39,19,39
115,879-2553,ไฟแช็กก๊าซ,Gas Lighters,บังคับ,5,4,34,20,0,0,39
116,2979-2562,ยางล้อแบบสูบลมหล่อดอกซ้ำ สำหรับยานยนต์เชิงพาณิชย์และส่วนพ่วง,Retreaded pneumatic tyres for commercial vehicles and their trailers,บังคับ,39,39,0,0,0,0,39
117,1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,Hot rolled structural steel sections,บังคับ,19,11,19,9,0,0,38
118,20-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กเส้นกลม,Steel bars for reinforced concrete : round bars,บังคับ,38,34,0,0,0,0,38
119,902 เล่ม 2(3)-2557,ดวงโคมไฟฟ้าสำหรับให้แสงสว่างบนถนน,Luminaires for road and street lighting,ทั่วไป,0,0,0,0,38,35,38
120,1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,Low-voltage swithgear and controlgear assemblies - Part 3: Distribution boards intended to be operated by ordinary persons (DBO),บังคับ,20,19,0,0,18,17,38
