ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
449,2480-2562,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,Single-use N95 mask for decreasing the risk of air-borne transmitted infection,ทั่วไป,0,0,0,0,3,3,3
450,2982-2562,เหล็กกล้าทรงแบนรีดร้อนที่ต้านการกัดกร่อนในบรรยากาศ สำหรับงานโครงสร้างเชื่อมประกอบ,HOT-ROLLED ATMOSPHERIC CORROSION RESISTING FLAT STEELS FOR WELDED STRUCTURE,ทั่วไป,0,0,0,0,3,3,3
451,83-2561,น้ำส้มสายชู,Vinegar,ทั่วไป,0,0,0,0,3,3,3
452,3029-2563,มอร์ตาร์ควบคุมการกัดกร่อนของเหล็กโครงสร้างในคอนกรีต,Activating mortar for corrosion control products for structural steels in concrete,ทั่วไป,0,0,0,0,3,2,3
453,638-2563,แป้งข้าวเจ้า,Rice flour,ทั่วไป,0,0,0,0,3,3,3
454,639-2563,แป้งข้าวเหนียว,Glutinous rice flour,ทั่วไป,0,0,0,0,3,3,3
455,829-2563,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง: ประตูอะลูมิเนียม,Metal frames and panel frames for doors and windows: aluminium doors,ทั่วไป,0,0,0,0,3,3,3
456,640 เล่ม 6-2563,เอทานอลสำหรับอุตสาหกรรมอาหาร,Ethanol fod food industry,ทั่วไป,0,0,0,0,3,3,3
457,2132-2564,เหล็กแผ่นเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน และเคลือบสี : แผ่นลอน,Prepainted hot-dip zinc-coated steel : corrugated,ทั่วไป,0,0,0,0,3,2,3
458,237-2564,แหวนยางสำหรับท่อน้ำ,Rubber ring for water pipe,ทั่วไป,0,0,0,0,3,3,3
459,287-2565,กระดาษพิมพ์และเขียน,Printing and writing paper,ทั่วไป,0,0,0,0,3,3,3
460,14-2565,มอโนโซเดียม แอล-กลูทาเมต,Monosodium L-glutamate,ทั่วไป,0,0,0,0,3,3,3
461,770-2567,ท่อเหล็กกล้าเคลือบสังกะสีสำหรับใช้ร้อยสายไฟฟ้า,Zinc Coated Steel Conduits Electrical Wiring,ทั่วไป,0,0,0,0,3,2,3
462,60335 เล่ม 2(41)-2567,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(41) ข้อกำหนดเฉพาะสำหรับเครื่องสูบของเหลว,HOUSEHOLD AND SIMILAR ELECTRICAL APPLIANCES - SAFETY - PART 2-41: PARTICULAR REQUIREMENTS FOR PUMPS,ทั่วไป,0,0,0,0,3,3,3
463,1045-2535,กระดาษพิมพ์ต่อเนื่อง,Papers for continuous forms,ทั่วไป,0,0,0,0,2,2,2
464,1052-2534,ชุดระบายน้ำหลังคา,Roof drains,ทั่วไป,0,0,0,0,2,2,2
465,1129-2535,ชุดพื้นยก,Elevated flooring,ทั่วไป,0,0,0,0,2,2,2
466,1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,Urea formaldehyde moulding compounds,ทั่วไป,0,0,0,0,2,2,2
467,1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,Faucets for shower baths,ทั่วไป,0,0,0,0,2,2,2
468,124-2518,สายพานแบนส่งกำลัง,Flat rubber belt for power transmission,ทั่วไป,0,0,0,0,2,2,2
469,1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,Wastes for wash basins,ทั่วไป,0,0,0,0,2,2,2
470,131-2523,รองเท้าแตะฟองน้ำ,Rubber slippers,ทั่วไป,0,0,0,0,2,2,2
471,1414-2540,แผงรั้วโลหะ,Metal fence panels,ทั่วไป,0,0,0,0,2,2,2
472,1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,Latex foam rubber mattresses,ทั่วไป,0,0,0,0,2,2,2
473,1500-2541,บานประตูรั้วโลหะ,Metal gates,ทั่วไป,0,0,0,0,2,2,2
474,156-2518,พิวเตอร์,Pewter,ทั่วไป,0,0,0,0,2,2,2
475,1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,Identification cards -Physical Characteristics,ทั่วไป,0,0,0,0,2,1,2
476,163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,Annealed low carbon steel wires,ทั่วไป,0,0,0,0,2,2,2
477,167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,Calcium silicate face bricks or sand-lime bricks,ทั่วไป,0,0,0,0,2,1,2
478,1732-2558,กระจกเงา,Mirror Glass,ทั่วไป,0,0,0,0,2,2,2
479,1984-2543,แผ่นยิปซัมเสริมใยแก้ว,Glass fibre reinforced gypsum plasterboards,ทั่วไป,0,0,0,0,2,1,2
480,199-2534,ซิป,Slide fasteners,ทั่วไป,0,0,0,0,2,1,2
481,21-2515,เครื่องเงิน,Silverware,ทั่วไป,0,0,0,0,2,2,2
482,2107-2544,หัวดับเพลิงไม่มีประตูน้ำ,Wet - barrel fire hydrants,ทั่วไป,0,0,0,0,2,2,2
483,2136-2545,แอนทราไซต์สำหรับกรองน้ำ,Anthracite for water filtration,ทั่วไป,0,0,0,0,2,2,2
484,214-2560,กระดาษชำระ,Toilet tissue paper,ทั่วไป,0,0,0,0,2,2,2
485,2141-2546,อ่างอาบน้ำอะคริลิกเสริมใยแก้ว,Glass fibre reinforced acrylic bathtubs,ทั่วไป,0,0,0,0,2,2,2
486,2147-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์,Automatic faucets for sanitary wares,ทั่วไป,0,0,0,0,2,2,2
487,2378-2559,บล็อกยางปูพื้น,Rubber paving blocks,ทั่วไป,0,0,0,0,2,2,2
488,2392-2551,เครื่องกรองน้ำดื่ม,Drinking water filters,ทั่วไป,0,0,0,0,2,2,2
489,2477-2552,ถุงฝายยาง,Rubber weir bag,ทั่วไป,0,0,0,0,2,2,2
490,2479-2552,ยางกันเรือกระแทกรูปท่อทรงกระบอกและรูปตัววี,Marine rubber fenders : cylindrical shape and v-shape,ทั่วไป,0,0,0,0,2,2,2
491,253-2521,แหและอวน : ไนลอนและโพลิเอทิลีน,Fishing net: nylon and polyethylene,ทั่วไป,0,0,0,0,2,1,2
492,2676-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับใช้งานทั่วไป,Austenitic stainless steel tubes for general service,ทั่วไป,0,0,0,0,2,2,2
493,2733-2559,น้ำยางคอมพาวด์เคลือบผ้าปูสระกักเก็บน้ำ,Latex compounds for coating fabrics,ทั่วไป,0,0,0,0,2,2,2
494,2762-2559,ลูกถ้วยแยกสายไฟฟ้าพอร์ซเลนชนิดเคลือบเซรามิกพร้อมพอลิเมอร์ยึดสายไฟฟ้า,Ceramic glazed porcelain cable spacers with polymer clamps,ทั่วไป,0,0,0,0,2,2,2
495,2764-2559,ท่อลอนพอลิเอทิลีนเสริมเหล็ก,Steel reinforced polyethylene corrugated pipe,ทั่วไป,0,0,0,0,2,2,2
496,279-2525,ลูกถ้วยก้านตรง : ปอร์ซเลน,Pin-type porcelain insulators,ทั่วไป,0,0,0,0,2,1,2
497,310-2522,ท่อเหล็กกล้าสำหรับทำรถจักรยาน,Steel tubes for bicycle purposes,ทั่วไป,0,0,0,0,2,1,2
498,328-2551,สีอะลูมิเนียมรองพื้นสำหรับงานไม้,Aluminium priming paint for woodwork,ทั่วไป,0,0,0,0,2,2,2
499,337-2545,กลีเซอรีนบริสุทธิ์,Refined glycerine,ทั่วไป,0,0,0,0,2,2,2
500,349-2561,เหล็กลวดคาร์บอนสูง,High carbon steel wire rods,ทั่วไป,0,0,0,0,2,2,2
501,365-2532,ตะกั่วบัดกรี : แท่ง,Soft solder bars and ingots,ทั่วไป,0,0,0,0,2,2,2
502,403-2532,แคลเซียมคาร์บอเนตสำหรับอุตสาหกรรมสีและพลาสติก,Calcium carbonate for paint and plastic industries,ทั่วไป,0,0,0,0,2,2,2
503,436-2525,ตู้เหล็กเก็บบัตรดัชนี,Steel index card cabinets,ทั่วไป,0,0,0,0,2,1,2
504,464-2544,กรดซิทริก,Citric acid,ทั่วไป,0,0,0,0,2,2,2
505,47-2561,น้ำมันและไขมันสำหรับบริโภค,Edible fats and oils,ทั่วไป,0,0,0,0,2,2,2
506,470-2526,น้ำผึ้ง,Honey,ทั่วไป,0,0,0,0,2,2,2
507,474-2542,ผลิตภัณฑ์ทำความสะอาดประเภทเหลวสำหรับถ้วยชาม,"Cleaning product for dishwashing, liquid type",ทั่วไป,0,0,0,0,2,1,2
508,486-2527,ใยแก้ว,Glasswool,ทั่วไป,0,0,0,0,2,2,2
509,504-2527,วงกบและกรอบบานไม้สำหรับประตูและหน้าต่าง,Wooden frames and panel frames for door and window,ทั่วไป,0,0,0,0,2,1,2
510,548-2541,อิฐทนไฟอะลูมินาสูง,High-alumina refractory bricks,ทั่วไป,0,0,0,0,2,2,2
511,632-2551,พอลิไวนิลคลอไรด์เรซิน,Polyvinyl chloride resin,ทั่วไป,0,0,0,0,2,2,2
512,633-2531,ลูกยางสีข้าว,Rubber rolls for paddy dehuskers,ทั่วไป,0,0,0,0,2,1,2
513,689-2530,ได-2-เอทิลเฮกซิลทาเลต,Di-2-ethylhexyl phthalate,ทั่วไป,0,0,0,0,2,1,2
514,692-2560,กำมะถันสำหรับอุตสาหกรรม,Sulfur for industrial use,ทั่วไป,0,0,0,0,2,2,2
515,710-2530,พัดลมไฟฟ้ากระแสสลับชนิดระบายอากาศ,A.C. electric ventilating type fans,ทั่วไป,0,0,0,0,2,1,2
516,738-2547,นมสด,Fresh milk,ทั่วไป,0,0,0,0,2,2,2
517,76-2517,ลวดหนามเคลือบสังกะสี,Galvanized barbed wires,ทั่วไป,0,0,0,0,2,2,2
518,773-2531,ดอกไม้ประดิษฐ์,Artificial flowers,ทั่วไป,0,0,0,0,2,1,2
519,776-2552,หลอดพลาสติกสำหรับอาหาร,Plastic straws for food,ทั่วไป,0,0,0,0,2,2,2
520,796-2544,เครื่องสุขภัณฑ์วิเทรียสไชนา : โถชำระล้าง,Vitreous china sanitary appliances: bidets,ทั่วไป,0,0,0,0,2,2,2
521,801-2562,นั่งร้านท่อเหล็กกล้าแบบโครง,Tubular steel scaffolding : frame type,ทั่วไป,0,0,0,0,2,2,2
522,9-2550,ลูกแบดมินตัน,Badminton Shuttle,ทั่วไป,0,0,0,0,2,2,2
523,952-2533,หมึกอัดสำเนา,Duplicating ink,ทั่วไป,0,0,0,0,2,2,2
524,1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,"Austenitic stainless steel tubes for boiler, superheater, heat-exchanger, and condenser",ทั่วไป,0,0,0,0,2,2,2
525,2086-2556,เกลือบริโภคบริสุทธิ์เสริมไอโอดีน,Refines Edible Common Iodized Salt,ทั่วไป,0,0,0,0,2,2,2
526,1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,Austenitic stainless steel pipe for high - Temperature and general corrosive service,ทั่วไป,0,0,0,0,2,2,2
527,2774-2560,กำมะถันสำหรับอุตสาหกรรมยาง,Sulfur for rubber industries,ทั่วไป,0,0,0,0,2,2,2
528,2773-2560,รถตัดอ้อย,Sugarcane harvester,ทั่วไป,0,0,0,0,2,2,2
529,2900-2561,แท่นพลาสติกกั้นจราจร,Plastic traffic barriers,ทั่วไป,0,0,0,0,2,1,2
530,2917-2561,ท่อพอลิเอทิลีนผนังโครงสร้างแบบเรียบสำหรับงานท่อใต้ดิน,Polyethylene structured-well pipes with smooth external surface for underground,ทั่วไป,0,0,0,0,2,2,2
531,331-2561,อะลูมิเนียมทรงแบนรีดเย็น สำหรับงานทั่วไปและงานขึ้นรูป,Cold rolled aluminium flat products for general purpose and forming,ทั่วไป,0,0,0,0,2,2,2
532,1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,"Flat cold-rolled stainless steel in coil, strip and sheet",ทั่วไป,0,0,0,0,2,1,2
533,2952-2561,ยานยนต์ประเภท L : คุณลักษณะเฉพาะสำหรับระบบส่งกำลังด้วยไฟฟ้า,Vehicles of category L with regard to specific requirements for the electric power train,ทั่วไป,0,0,0,0,2,2,2
534,2973-2562,พอลิเมอร์เสริมเส้นใย สำหรับงานโครงสร้างคอนกรีตไม่อัดแรง,Fibre-reinforced polymers for non-prestressed concrete structures,ทั่วไป,0,0,0,0,2,2,2
535,1395-2562,บล็อกแก้วกลวง,Hollow glass blocks,ทั่วไป,0,0,0,0,2,1,2
536,915 เล่ม 1-2562,วาล์วถังก๊าซปิโตรเลียมเหลว เล่ม 1 แบบกดล็อก,Specifications and testing of LPG cylinder valves Part 1 : self-colsing,ทั่วไป,0,0,0,0,2,2,2
537,640 เล่ม 4-2561,เอทานอลสำหรับใช้ในเครื่องสำอาง,Ethanol for cosmetics use,ทั่วไป,0,0,0,0,2,2,2
538,155-2562,น้ำหวานเข้มข้น,Flavoured syrup,ทั่วไป,0,0,0,0,2,1,2
539,469-2561,สีซีเมนต์,Powder cement paints,ทั่วไป,0,0,0,0,2,2,2
540,3026-2563,ยานยนต์ประเภท M และ N: คุณลักษณะเฉพาะสำหรับระบบส่งกำลังด้วยไฟฟ้า,Vehicles of category M and N with regard to specific requirements for the electric power train,ทั่วไป,0,0,0,0,2,1,2
541,3024 เล่ม 2-2563,ส่วนประกอบระบบป้องกันฟ้าผ่า (LPSC) เล่ม 2 คุณลักษณะที่ต้องการสำหรับตัวนำและหลักดิน,Lightning protection system components (LPSC) - Part 2: Requirements for conductors and earth electrodes,ทั่วไป,0,0,0,0,2,1,2
542,271-2563,บะหมี่กึ่งสำเร็จรูป,Instant noodles,ทั่วไป,0,0,0,0,2,1,2
543,568-2563,คาร์บอนไดออกไซด์อุตสาหกรรม,Industrial carbon dioxide,ทั่วไป,0,0,0,0,2,2,2
544,1512-2563,สีย้อมไม้ชนิดน้ำ,Water-based wood stain (Wiping),ทั่วไป,0,0,0,0,2,2,2
545,1406-2564,สีเคลือบด้านแอลคีด,Flat alkyd enamel,ทั่วไป,0,0,0,0,2,2,2
546,3173-2564,สารสกัดจากกัญชงที่มีปริมาณแคนนาบิไดออลรวม ไม่น้อยกว่า 80% โดยมวล,Hemp extract containing total cannabidol not less than 80% by mass,ทั่วไป,0,0,0,0,2,2,2
547,1005-2564,สีเคลือบกึ่งเงาแอลคีด,Semigloss alkyd enamel,ทั่วไป,0,0,0,0,2,2,2
548,3024 เล่ม 5-2564,ส่วนประกอบระบบป้องกันฟ้าผ่า (LPSC) เล่ม 5 คุณลักษณะที่ต้องการสำหรับกล่องตรวจสอบหลักดินและซีลหลักดิน,Lighting protection system components (LPSC) - Part 5: Requirements for earth electrode inspection housing and earth electrodes seals,ทั่วไป,0,0,0,0,2,2,2
549,3399-2565,น้ำยางคอมพาวนด์สำหรับปรับคุณภาพดินซีเมนต์,Latex compound for modified soil cement,ทั่วไป,0,0,0,0,2,2,2
550,805-2565,เครื่องปรับความดันก๊าซปิโตรเลียมเหลว : ความดันต่ำ,LPG - Gas Regulator: Low-pressure,ทั่วไป,0,0,0,0,2,2,2
551,875-2565,เครื่องปรับความดันก๊าซปิโตรเลียมเหลว : ความดันสูง,LPG - Gas Regulator: High-pressure,ทั่วไป,0,0,0,0,2,2,2
552,3460-2565,เชื้อเพลิงขยะ,Refuse derived fuel,ทั่วไป,0,0,0,0,2,1,2
553,900-2565,ถ่านกัมมันต์สำหรับอุตสาหกรรมทั่วไป,ACTIVATED CARBON FOR INDUSTRIAL USES,ทั่วไป,0,0,0,0,2,2,2
554,3286-2564,ลวดชุบแข็งและอบคืนตัวสำหรับคอนกรีตอัดแรง,QUENCHED AND TEMPERED WIRE FOR PRESTRESSED CONCRETE,บังคับ,1,1,0,0,1,1,2
555,13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,SULFURIC ACID FOR LEAD - ACID BATTERIES,ทั่วไป,0,0,0,0,2,2,2
556,878-2566,แผ่นชิ้นไม้อัดซีเมนต์ : ความหนาแน่นสูง,CEMENT BONDED PARTICLEBOARDS : HIGH DENSITY,ทั่วไป,0,0,0,0,2,2,2
557,854-2566,อ่างเหล็กกล้าไร้สนิมสำหรับล้างชาม,STAINLESS STEEL SINKS,ทั่วไป,0,0,0,0,2,2,2
558,849-2566,ปูนซีเมนต์ปอร์ตแลนด์ปอซโซลาน,Portland pozzolan cement,ทั่วไป,0,0,0,0,2,2,2
559,2143 เล่ม 1-2567,สายไฟฟ้าแรงดันสูงหุ้มฉนวนและอุปกรณ์ส่วนควบใช้กับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 1 kV ถึงไม่เกิน 30 kV เล่ม 1 สายไฟฟ้าใช้กับแรงดันไฟฟ้าที่กำหนด 1 kV และ 3 kV,POWER CABLES WITH EXTRUDED INSULATION AND THEIR ACCESSORIES FOR RATED VOLTAGES FROM 1 kV (Um = 1.2 kV) UP TO 30 kV (Um = 36 kV) - PART 1: CABLES FOR RATED VOLTAGES OF 1 kV (Um = 1.2 kV) AND 3 kV (Um = 3.6 kV),ทั่วไป,0,0,0,0,2,2,2
560,1033-2552,แลกเกอร์แอโรซอล,Aerosol lacquer,ทั่วไป,0,0,0,0,1,1,1
561,1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,Drilling-mud bentonite,ทั่วไป,0,0,0,0,1,1,1
562,1092-2548,สีรองพื้นกัดผิว,Etching primer,ทั่วไป,0,0,0,0,1,1,1
563,111-2538,ผ้าถักวงกลม,Circular knitting fabrics,ทั่วไป,0,0,0,0,1,1,1
564,1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,Containers for high flash point petroleum products,ทั่วไป,0,0,0,0,1,1,1
565,115-2529,กุ้งเยือกแข็ง,Quick frozen shrimps or prawns,ทั่วไป,0,0,0,0,1,1,1
566,1170-2536,ฟรักโทสซิรัป,Fructose syrup,ทั่วไป,0,0,0,0,1,1,1
567,1181-2536,ขวดนมพลาสติก,Plastic babies' bottles,ทั่วไป,0,0,0,0,1,1,1
568,1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,"Stainless steel bone screws with hexagonal drive connection, spherical under-surface of head, asymmetrical thread",ทั่วไป,0,0,0,0,1,1,1
569,1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,Rotary slashers,ทั่วไป,0,0,0,0,1,1,1
570,1318-2552,ทินเนอร์ระเหยช้า,Retarded thinner,ทั่วไป,0,0,0,0,1,1,1
571,1342-2539,น้ำตาลทรายแดง,Brown sugar,ทั่วไป,0,0,0,0,1,1,1
572,1350-2539,รถแทรกเตอร์เดินตาม,Walk-behind tractors,ทั่วไป,0,0,0,0,1,1,1
573,1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,Copper and copper alloy sheets and strips,ทั่วไป,0,0,0,0,1,1,1
574,1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,Flexible polyurethane foam mattresses,ทั่วไป,0,0,0,0,1,1,1
575,1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,Office furniture: Partitions,ทั่วไป,0,0,0,0,1,1,1
576,1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,information technology equipment - safety - part 1 : general requirements,ทั่วไป,0,0,0,0,1,1,1
577,1678-2541,หมึกประทับตรา,Stamp pad ink,ทั่วไป,0,0,0,0,1,1,1
578,173-2529,ยางฟองน้ำลาเทกซ์,Latex foam rubbers,ทั่วไป,0,0,0,0,1,1,1
579,1777-2558,แคโพรแล็กแทมสำหรับอุตสาหกรรม,Caprolactam for industrial use,ทั่วไป,0,0,0,0,1,1,1
580,181-2530,กาวโพลิไวนิลอะซีเทตอิมัลชัน,Polyvinyl acetate emulsion adhesives,ทั่วไป,0,0,0,0,1,1,1
581,200-2536,ลวดเสียบกระดาษ,Paper-clips,ทั่วไป,0,0,0,0,1,1,1
582,2083-2544,ผลิตภัณฑ์ทำความสะอาดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก ประเภทสารลดแรงตึงผิว,"Cleaning product for ceramic tite and sanitary wares, surfactant type",ทั่วไป,0,0,0,0,1,1,1
583,2084-2552,กระบอกฉีดอินซูลินปราศจากเชื้อชนิดใช้ครั้งเดียว,Sterile single-use syringes for insulin,ทั่วไป,0,0,0,0,1,1,1
584,2115-2545,ไม้พื้นอัดซ้อนเคลือบผิวสำเร็จ,Pre-finished multiply wood flooring,ทั่วไป,0,0,0,0,1,1,1
585,2117-2545,ผลิตภัณฑ์ทำความสะอาดเครื่องครัว,Kitchen appliance and utensil cleaning product,ทั่วไป,0,0,0,0,1,1,1
586,2118-2545,ที่รองนั่งและฝาพลาสติกสำหรับโถส้วม,Plastic seats and covers for water-closets,ทั่วไป,0,0,0,0,1,1,1
587,2133-2545,ท่อเหล็กกล้าอ่อนเคลือบสังกะสีสำหรับร้อยสายไฟฟ้า,Zinc coated flexible steel conduits for electrical wiring,ทั่วไป,0,0,0,0,1,1,1
588,2135-2545,เถ้าลอยจากถ่านหินใช้เป็นวัสดุผสมคอนกรีต,Coal fly ash for use as an admixture in concrete,ทั่วไป,0,0,0,0,1,1,1
589,2138-2559,เครื่องแบบนักเรียน : ผ้าเครื่องแบบนักเรียน,School uniforms : Fabrics,ทั่วไป,0,0,0,0,1,1,1
590,2148-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,Automatic faucets for sanitary wares : environment requirements ; water-savings,ทั่วไป,0,0,0,0,1,1,1
591,2203-2558,กระจกลวดลาย,Patterned glass,ทั่วไป,0,0,0,0,1,1,1
592,221-2558,ซิงก์ออกไซด์สำหรับอุตสาหกรรมทั่วไป,Zinc oxide for general industrial use,ทั่วไป,0,0,0,0,1,1,1
593,2254-2561,สีเท็กซ์เจอร์,Textured paint,ทั่วไป,0,0,0,0,1,1,1
594,2274-2549,ผลิตภัณฑ์ฟอกผ้าประเภทเพอร์ออกไซด์,"Fabric bleaching product, peroxide type",ทั่วไป,0,0,0,0,1,1,1
595,229-2540,อะเซทิลีน,Dissolved acetylene,ทั่วไป,0,0,0,0,1,1,1
596,2345-2550,ธูป,Incense,ทั่วไป,0,0,0,0,1,1,1
597,2357-2550,ท่ออะคริโลไนไทรล์-บิวทาไดอีน-สไตรีน (เอบีเอส) ทนความดัน,Acrylonitrile-butadiene-styrene (ABS) pressurepipe,ทั่วไป,0,0,0,0,1,1,1
598,2369-2551,กรดไนทริกสำหรับอุตสาหกรรม,Nitric acid for industrial use,ทั่วไป,0,0,0,0,1,1,1
599,238-2520,ถังน้ำเหล็กอาบสังกะสี,Galvanized mild steel water tanks,ทั่วไป,0,0,0,0,1,1,1
600,2385-2551,สายต่อใช้ในการแพทย์,Extension tubes for medical use,ทั่วไป,0,0,0,0,1,1,1
601,2426-2552,เตาเผาไฟฟ้า : แบบความต้านทาน,Electric resistance furnaces,ทั่วไป,0,0,0,0,1,1,1
602,247-2552,ด้ายเย็บพอลิเอสเทอร์,Polyester sewing thread,ทั่วไป,0,0,0,0,1,1,1
603,2502-2553,พรมทอ,Woven carpets,ทั่วไป,0,0,0,0,1,1,1
604,2505-2553,ถุงมือยางที่ใช้ในอุตสาหกรรมอาหาร,Rubber gloves for food industry,ทั่วไป,0,0,0,0,1,1,1
605,2515-2555,สีเคลือบเงาชนิดน้ำ,Water-borne gloss enamel paints,ทั่วไป,0,0,0,0,1,1,1
606,2555-2554,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยประกายไฟที่ใช้ก๊าซธรรมชาติหรือก๊าซปิโตรเลียมเหลวเป็นเชื้อเพลิง เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,"Light motor vehicle equipped with positive ignition engines fuelled with natural gas or liquefied petroleum gas : safety requirements ; emission from engine, level 1",บังคับ,1,1,0,0,0,0,1
607,2600-2556,กระเบื้องหินขัดชั้นเดียว,Single - Layered terrazzo tiles,ทั่วไป,0,0,0,0,1,1,1
608,2667-2558,แผ่นยางรองรางรถไฟ,Rubber rail pads,ทั่วไป,0,0,0,0,1,1,1
609,2685-2558,แผ่นอะคริลิกใช้งานทั่วไป : แผ่นหล่อต่อเนื่อง,General Purposes Acrylic Sheets : Continuous Cast Sheets,ทั่วไป,0,0,0,0,1,1,1
610,291 เล่ม 1-2530,สลักเกลียวหัวหกเหลี่ยม เล่ม 1 ผลิตภัณฑ์ขั้น A และ B,Hexagon head bolts : Producd grades A and B,ทั่วไป,0,0,0,0,1,1,1
611,306-2541,วงล้อรถจักรยานยนต์,Motorcycle spoke rims,ทั่วไป,0,0,0,0,1,1,1
612,319 เล่ม 2-2551,ปูนไลม์อุตสาหกรรม เล่ม 2 ปูนขาว,Industrial lime Part 2 hydrated lime,ทั่วไป,0,0,0,0,1,1,1
613,324-2522,ซี่ล้อรถจักรยานยนต์,Motorcycle spokes,ทั่วไป,0,0,0,0,1,1,1
614,329-2542,ผลิตภัณฑ์ทำความสะอาดประเภทกรดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก,"Cleaning product for ceramic tile and sanitary wares, acid type",ทั่วไป,0,0,0,0,1,1,1
615,340-2528,ท่อไอเสียรถยนต์,"Exhaust system for car, bus and truck",ทั่วไป,0,0,0,0,1,1,1
616,351-2527,โซ่รถจักรยาน,Bicycle chains,ทั่วไป,0,0,0,0,1,1,1
617,402-2532,แคลเซียมคาร์บอเนตสำหรับอุตสาหกรรมยาง,Calcium carbonate for rubber industry,ทั่วไป,0,0,0,0,1,1,1
618,418-2525,โซ่ส่งกำลัง,Transmission roller chains,ทั่วไป,0,0,0,0,1,1,1
619,426-2525,ผ้าใบไวนิลอนชนิดเคลือบพีวีซี,PVC coated vinylon fabric,ทั่วไป,0,0,0,0,1,1,1
620,442-2525,แผ่นฝอยไม้ซีเมนต์อัดชนิดใช้งานทั่วไป,Wood wool cement board,ทั่วไป,0,0,0,0,1,1,1
621,45-2552,ยาสีฟัน,Toothpastes,ทั่วไป,0,0,0,0,1,1,1
622,463-2544,สารละลายซอร์บิทอล,Sorbitol solution,ทั่วไป,0,0,0,0,1,1,1
623,517-2558,ขวดพลาสติกสำหรับบรรจุยาเม็ดและแคปซูล,Plastics bottles for pharmaceutical tablets and capsules,ทั่วไป,0,0,0,0,1,1,1
624,564-2546,ภาชนะเซรามิกที่ใช้กับอาหาร : พอร์ซเลน,Ceramic ware in contact with food : porcelain,ทั่วไป,0,0,0,0,1,1,1
