tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,2025-11-01,0,0,0.0,0.0
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,2025-11-01,0,0,0.0,0.0
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,0.0,0.0
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,2025-11-01,0,0,0.0,0.0
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,2025-11-01,0,0,0.0,0.0
1220-2541,ชุดประตูทนไฟแบบบานเปิด,2025-11-01,0,0,0.0,0.0
1222-2560,กระจกนิรภัยหลายชั้น,2025-11-01,35,87,0.7131147482531578,0.28688524355012096
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,2025-11-01,19,19,0.49999998684210567,0.49999998684210567
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,2025-11-01,45,0,0.0,0.9999999777777784
1230-2537,จานเรซินอยด์สำหรับตัด,2025-11-01,0,0,0.0,0.0
1231-2560,กระจกฉนวน,2025-11-01,14,71,0.8352941078200693,0.16470588041522494
1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,2025-11-01,0,0,0.0,0.0
124-2518,สายพานแบนส่งกำลัง,2025-11-01,0,0,0.0,0.0
1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,2025-11-01,0,0,0.0,0.0
1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,2025-11-01,0,0,0.0,0.0
126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,2025-11-01,0,0,0.0,0.0
127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,2025-11-01,0,0,0.0,0.0
1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,2025-11-01,0,0,0.0,0.0
1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,0.0,0.0
128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,0.0,0.0
1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,0.0,0.0
1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,2025-11-01,0,0,0.0,0.0
1284-2560,ตู้เหล็กเก็บสัมภาระ,2025-11-01,0,0,0.0,0.0
1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,2025-11-01,0,0,0.0,0.0
13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,2025-11-01,0,0,0.0,0.0
1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,2025-11-01,0,0,0.0,0.0
1306-2566,พอลิโพรพิลีนเรซิน,2025-11-01,0,0,0.0,0.0
131-2523,รองเท้าแตะฟองน้ำ,2025-11-01,0,0,0.0,0.0
1316-2562,ชั้นโลหะวางของ,2025-11-01,0,0,0.0,0.0
1318-2552,ทินเนอร์ระเหยช้า,2025-11-01,0,0,0.0,0.0
132-2564,รองเท้าผ้าใบ,2025-11-01,0,0,0.0,0.0
1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,2025-11-01,0,0,0.0,0.0
133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,2025-11-01,1,5,0.8333331944444675,0.16666663888889352
1342-2539,น้ำตาลทรายแดง,2025-11-01,0,0,0.0,0.0
1344-2560,กระจกโฟลตสีตัดแสง,2025-11-01,8,78,0.9069767336398055,0.09302325473228774
1350-2539,รถแทรกเตอร์เดินตาม,2025-11-01,0,0,0.0,0.0
1368-2539,ประตูระบายอากาศสำหรับงานประปา,2025-11-01,0,0,0.0,0.0
1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,0.0,0.0
