tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,total_licenses,num_manufacturing_licenses_diff,num_manufacturing_licenses_pct_change,num_import_licenses_diff,num_import_licenses_pct_change,num_display_licenses_diff,num_display_licenses_pct_change,total_licenses_diff,total_licenses_pct_change
1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,5,5,,,,,,,,
1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,2025-11-01,0,0,2,2,,,,,,,,
1379-2551,ถังเก็บน้ำพลาสติก,2025-11-01,0,0,50,50,,,,,,,,
138-2562,ลวดผูกเหล็ก,2025-11-01,0,0,6,6,,,,,,,,
1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,2025-11-01,0,0,1,1,,,,,,,,
1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,6,83,0,89,,,,,,,,
1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,2025-11-01,1,7,0,8,,,,,,,,
1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,2025-11-01,0,0,5,5,,,,,,,,
1395-2562,บล็อกแก้วกลวง,2025-11-01,0,0,2,2,,,,,,,,
1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,0,0,1,1,,,,,,,,
14-2565,มอโนโซเดียม แอล-กลูทาเมต,2025-11-01,0,0,3,3,,,,,,,,
1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,2025-11-01,0,0,1,1,,,,,,,,
1406-2564,สีเคลือบด้านแอลคีด,2025-11-01,0,0,2,2,,,,,,,,
1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,2025-11-01,0,0,19,19,,,,,,,,
1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,2025-11-01,0,0,4,4,,,,,,,,
1414-2540,แผงรั้วโลหะ,2025-11-01,0,0,2,2,,,,,,,,
1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,2025-11-01,0,0,3,3,,,,,,,,
1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,2025-11-01,0,0,4,4,,,,,,,,
1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,2025-11-01,0,0,1,1,,,,,,,,
1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,2025-11-01,0,0,2,2,,,,,,,,
1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,2025-11-01,0,0,17,17,,,,,,,,
1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,2025-11-01,0,0,28,28,,,,,,,,
1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,2025-11-01,20,0,18,38,,,,,,,,
1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,2025-11-01,0,0,2,2,,,,,,,,
1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,2025-11-01,10,79,0,89,,,,,,,,
1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,21,155,0,176,,,,,,,,
1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,2025-11-01,93,407,0,500,,,,,,,,
1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,2025-11-01,0,0,11,11,,,,,,,,
1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,0,0,8,8,,,,,,,,
1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,0,0,4,4,,,,,,,,
1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,2025-11-01,0,0,1,1,,,,,,,,
1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,2025-11-01,0,0,4,4,,,,,,,,
1497-2548,ชุดหัวฉีดชะล้าง,2025-11-01,0,0,11,11,,,,,,,,
1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,2025-11-01,23,54,0,77,,,,,,,,
15-2562,ปูนซีเมนต์ปอร์ตแลนด์,2025-11-01,15,15,0,30,,,,,,,,
150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,2025-11-01,0,0,8,8,,,,,,,,
1500-2541,บานประตูรั้วโลหะ,2025-11-01,0,0,2,2,,,,,,,,
1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,2025-11-01,21,42,0,63,,,,,,,,
1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,0,0,20,20,,,,,,,,
1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,0,0,3,3,,,,,,,,
1512-2563,สีย้อมไม้ชนิดน้ำ,2025-11-01,0,0,2,2,,,,,,,,
1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,2025-11-01,0,0,5,5,,,,,,,,
1521-2541,กาวสำหรับกระดาษ,2025-11-01,0,0,5,5,,,,,,,,
1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,32,107,0,139,,,,,,,,
153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,2025-11-01,0,0,7,7,,,,,,,,
155-2562,น้ำหวานเข้มข้น,2025-11-01,0,0,2,2,,,,,,,,
156-2518,พิวเตอร์,2025-11-01,0,0,2,2,,,,,,,,
1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,2025-11-01,0,0,1,1,,,,,,,,
1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,2025-11-01,0,0,9,9,,,,,,,,
1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,2025-11-01,0,0,3,3,,,,,,,,
158-2518,กระเบื้องดินเผามุงหลังคา,2025-11-01,0,0,5,5,,,,,,,,
1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,2025-11-01,0,0,2,2,,,,,,,,
163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,2025-11-01,0,0,2,2,,,,,,,,
1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,2025-11-01,31,621,0,652,,,,,,,,
165-2554,สารส้ม,2025-11-01,0,0,24,24,,,,,,,,
1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,2025-11-01,0,0,21,21,,,,,,,,
166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,2025-11-01,65,160,0,225,,,,,,,,
167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,2025-11-01,0,0,2,2,,,,,,,,
1677-2541,แท่นประทับตรา,2025-11-01,0,0,3,3,,,,,,,,
1678-2541,หมึกประทับตรา,2025-11-01,0,0,1,1,,,,,,,,
1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,2025-11-01,71,135,0,206,,,,,,,,
17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,2025-11-01,41,1,0,42,,,,,,,,
173-2529,ยางฟองน้ำลาเทกซ์,2025-11-01,0,0,1,1,,,,,,,,
1732-2558,กระจกเงา,2025-11-01,0,0,2,2,,,,,,,,
1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,2025-11-01,14,22,0,36,,,,,,,,
1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,2025-11-01,0,0,3,3,,,,,,,,
