tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date,num_total_entrepreneurs,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio
1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1284-2560,ตู้เหล็กเก็บสัมภาระ,0,0,0,0,9,9,9,2025-11-01,9,0.0,0.0,0.0,0.9999998888889013
1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,0,0,0,0,27,19,27,2025-11-01,19,0.0,0.0,0.0,0.9999999629629643
13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1306-2566,พอลิโพรพิลีนเรซิน,0,0,0,0,5,3,5,2025-11-01,3,0.0,0.0,0.0,0.99999980000004
131-2523,รองเท้าแตะฟองน้ำ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1316-2562,ชั้นโลหะวางของ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1318-2552,ทินเนอร์ระเหยช้า,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
132-2564,รองเท้าผ้าใบ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,1,1,5,5,0,0,6,2025-11-01,6,4.999995000005001,0.8333331944444675,0.16666663888889352,0.0
1342-2539,น้ำตาลทรายแดง,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1344-2560,กระจกโฟลตสีตัดแสง,8,3,78,23,0,0,86,2025-11-01,26,9.749998781250154,0.9069767336398055,0.09302325473228774,0.0
1350-2539,รถแทรกเตอร์เดินตาม,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1368-2539,ประตูระบายอากาศสำหรับงานประปา,0,0,0,0,26,16,26,2025-11-01,16,0.0,0.0,0.0,0.9999999615384629
1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,0,0,0,0,5,2,5,2025-11-01,2,0.0,0.0,0.0,0.99999980000004
1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
1379-2551,ถังเก็บน้ำพลาสติก,0,0,0,0,50,36,50,2025-11-01,36,0.0,0.0,0.0,0.9999999800000005
138-2562,ลวดผูกเหล็ก,0,0,0,0,6,6,6,2025-11-01,6,0.0,0.0,0.0,0.9999998333333611
1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,6,4,83,30,0,0,89,2025-11-01,34,13.833331027778161,0.9325842591844465,0.06741572957959854,0.0
1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,1,1,7,6,0,0,8,2025-11-01,7,6.9999930000070005,0.8749998906250137,0.12499998437500197,0.0
1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,0,0,0,0,5,5,5,2025-11-01,5,0.0,0.0,0.0,0.99999980000004
1395-2562,บล็อกแก้วกลวง,0,0,0,0,2,1,2,2025-11-01,1,0.0,0.0,0.0,0.99999950000025
1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
14-2565,มอโนโซเดียม แอล-กลูทาเมต,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1406-2564,สีเคลือบด้านแอลคีด,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,0,0,0,0,19,5,19,2025-11-01,5,0.0,0.0,0.0,0.9999999473684238
1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,0,0,0,0,4,3,4,2025-11-01,3,0.0,0.0,0.0,0.9999997500000625
1414-2540,แผงรั้วโลหะ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,0,0,0,0,17,7,17,2025-11-01,7,0.0,0.0,0.0,0.999999941176474
1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,0,0,0,0,28,28,28,2025-11-01,28,0.0,0.0,0.0,0.9999999642857155
1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,20,19,0,0,18,17,38,2025-11-01,36,0.0,0.0,0.9999999500000024,0.4736841980609422
1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,10,10,79,31,0,0,89,2025-11-01,41,7.89999921000008,0.8876404394647142,0.11235954929933091,0.0
1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,21,11,155,44,0,0,176,2025-11-01,55,7.3809520294784745,0.8806818131779443,0.11931818114023761,0.0
1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,93,65,407,96,0,0,500,2025-11-01,161,4.376344038964043,0.813999998372,0.185999999628,0.0
1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,0,0,0,0,11,5,11,2025-11-01,5,0.0,0.0,0.0,0.9999999090909174
1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,0,0,0,0,8,4,8,2025-11-01,4,0.0,0.0,0.0,0.9999998750000157
