tis_number,tis_name_th,snapshot_date,num_total_entrepreneurs,import_dependency_ratio,entrepreneur_risk_raw,entrepreneur_risk_norm,import_dependency_norm,risk_score,risk_label
1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,55,0.8806818131779443,0.017857142857142856,0.03390342052313883,0.8806818235389068,45.72926220310228,medium
1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,2025-11-01,161,0.813999998372,0.006172839506172839,0.010490929113777312,0.8140000079484706,41.22454685311239,medium
1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
1484-2540,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1495-2567,เครื่องเรือนสำหรับสถานศึกษา : เก้าอี้เรียน,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
1497-2548,ชุดหัวฉีดชะล้าง,2025-11-01,9,0.0,0.1,0.19849765258215962,0.0,9.924882629107982,low
1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,2025-11-01,52,0.7012986921909261,0.018867924528301886,0.035928780228541055,0.701298700441499,36.861374033502,low
15-2562,ปูนซีเมนต์ปอร์ตแลนด์,2025-11-01,21,0.4999999833333339,0.045454545454545456,0.0892018779342723,0.49999998921568667,29.46009335749795,low
150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,2025-11-01,6,0.0,0.14285714285714285,0.28437290409121396,0.0,14.218645204560698,low
1500-2541,บานประตูรั้วโลหะ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,2025-11-01,40,0.6666666560846563,0.024390243902439025,0.0469941600824459,0.6666666639277934,35.683041200511965,low
1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,11,0.0,0.08333333333333333,0.1651017214397496,0.0,8.25508607198748,low
1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1512-2563,สีย้อมไม้ชนิดน้ำ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
1521-2541,กาวสำหรับกระดาษ,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,89,0.7697841671238549,0.011111111111111112,0.02038601982263954,0.7697841761801393,39.50850980013894,low
153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,2025-11-01,7,0.0,0.125,0.24859154929577465,0.0,12.429577464788732,low
155-2562,น้ำหวานเข้มข้น,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
156-2518,พิวเตอร์,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,2025-11-01,8,0.0,0.1111111111111111,0.22076160667709963,0.0,11.038080333854982,low
1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
158-2518,กระเบื้องดินเผามุงหลังคา,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,2025-11-01,187,0.9524539862692424,0.005319148936170213,0.008780341624213366,0.9524539974745834,48.06171695493984,medium
165-2554,สารส้ม,2025-11-01,16,0.0,0.058823529411764705,0.115990057995029,0.0,5.79950289975145,low
1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,2025-11-01,21,0.0,0.045454545454545456,0.0892018779342723,0.0,4.460093896713615,low
166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,2025-11-01,143,0.7111111079506173,0.006944444444444444,0.012037037037037035,0.7111111163166304,36.15740766768337,low
